ticket_nro,sku_variante,cantidad,precio_unitario_cobrado,costo_unitario_historico,subtotal,promocion_id
18,BUZ-NEG-XL,1,29569.23,11827.69,29569.23,
18,SWE-MAR-L,2,32525.33,13010.13,65050.66,
18,REM-TUR-S,2,34182.8,13673.12,68365.6,
19,JOG-CEL-L,1,41361.66,16544.66,41361.66,
19,JOG-AZU-unico,1,41361.66,16544.66,41361.66,
20,JEA-LAV-L,1,21871.44,8748.58,21871.44,
20,BUZ-AZU-L,1,24246.77,11827.69,24246.77,10.0
21,CAM-BEI-L,1,36700.58,14680.23,36700.58,
22,MUS-AZU-unico,2,32320.56,12928.22,64641.12,
22,BUZ-NEG-unico,1,29569.23,11827.69,29569.23,
22,SWE-AZU-M,1,32525.33,13010.13,32525.33,
22,REM-BLA-unico,1,32677.97,13071.19,32677.97,
23,JEA-NEG-M,1,21871.44,8748.58,21871.44,
23,MUS-AZU-XXL,1,32320.56,12928.22,32320.56,
23,CHU-VER-L,1,33823.38,13529.35,33823.38,
24,CAM-BLA-XL,1,36700.58,14680.23,36700.58,
25,CHU-VER-XL,1,33823.38,13529.35,33823.38,
25,CAM-BLA-L,1,36700.58,14680.23,36700.58,
25,SWE-AZU-XXL,2,32525.33,13010.13,65050.66,
26,CHU-ÍND-L,1,33823.38,13529.35,33823.38,
26,MUS-AZU-S,1,32320.56,12928.22,32320.56,
27,CAM-BEI-M,1,36700.58,14680.23,36700.58,
27,REM-VIO-L,1,32677.97,13071.19,32677.97,
27,JOG-ÍND-S,1,41361.66,16544.66,41361.66,
28,CIN-ROS-L,1,33144.89,13257.96,33144.89,
28,GOR-GRI-L,1,28716.74,11486.7,28716.74,
29,MUS-CEL-S,1,32320.56,12928.22,32320.56,
29,REM-CEL-S,1,34182.8,13673.12,34182.8,
29,CIN-MAR-S,2,33144.89,13257.96,66289.78,
29,REM-CEL-S,1,34182.8,13673.12,34182.8,
29,JEA-NEG-XXL,1,21871.44,8748.58,21871.44,
30,CIN-ROS-S,1,33144.89,13257.96,33144.89,
30,MUS-CEL-unico,2,32320.56,12928.22,64641.12,
30,JOG-AZU-XXL,1,41361.66,16544.66,41361.66,
30,CHU-NEG-S,1,33823.38,13529.35,33823.38,
30,GOR-ROJ-S,1,28716.74,11486.7,28716.74,
31,JEA-LAV-unico,1,21871.44,8748.58,21871.44,
31,CAM-CEL-S,1,36700.58,14680.23,36700.58,
32,JOG-CEL-S,1,41361.66,16544.66,41361.66,
32,JOG-AZU-XL,1,41361.66,16544.66,41361.66,
32,CAM-BLA-XL,1,36700.58,14680.23,36700.58,
33,SWE-AZU-M,1,32525.33,13010.13,32525.33,
34,REM-CEL-S,1,34182.8,13673.12,34182.8,
34,REM-TUR-M,1,34182.8,13673.12,34182.8,
34,CIN-MAR-M,1,33144.89,13257.96,33144.89,
35,CHU-NEG-unico,1,27735.17,13529.35,27735.17,9.0
35,CAM-BEI-M,1,36700.58,14680.23,36700.58,
35,JOG-AZU-XL,1,41361.66,16544.66,41361.66,
35,JEA-LAV-L,1,21871.44,8748.58,21871.44,
35,GOR-ROJ-unico,1,23547.73,11486.7,23547.73,9.0
36,SWE-AZU-S,1,32525.33,13010.13,32525.33,
36,CAM-CEL-unico,1,36700.58,14680.23,36700.58,
36,GOR-ROJ-unico,1,28716.74,11486.7,28716.74,
36,CAM-CEL-XL,1,36700.58,14680.23,36700.58,
36,CIN-MAR-S,1,33144.89,13257.96,33144.89,
37,CIN-MAR-XL,2,33144.89,13257.96,66289.78,
38,SWE-AZU-XXL,1,32525.33,13010.13,32525.33,
38,REM-VIO-XL,1,32677.97,13071.19,32677.97,
38,SWE-MAR-S,1,32525.33,13010.13,32525.33,
38,GOR-GRI-S,1,28716.74,11486.7,28716.74,
39,CIN-TUR-XL,1,23201.42,13257.96,23201.42,5.0
40,BUZ-NEG-S,1,29569.23,11827.69,29569.23,
40,CIN-ROS-XXL,1,33144.89,13257.96,33144.89,
40,SWE-AZU-XXL,1,32525.33,13010.13,32525.33,
40,CAM-BEI-M,1,36700.58,14680.23,36700.58,
40,BUZ-NEG-XL,1,29569.23,11827.69,29569.23,
41,CAM-BEI-S,1,36700.58,14680.23,36700.58,
41,CHU-VER-M,1,33823.38,13529.35,33823.38,
41,GOR-GRI-S,1,28716.74,11486.7,28716.74,
41,CHU-ÍND-unico,1,33823.38,13529.35,33823.38,
41,CAM-BLA-L,1,36700.58,14680.23,36700.58,
42,JOG-AZU-XXL,1,41361.66,16544.66,41361.66,
42,CAM-CEL-unico,1,36700.58,14680.23,36700.58,
42,JEA-NEG-XXL,1,21871.44,8748.58,21871.44,
42,JOG-AZU-unico,2,41361.66,16544.66,82723.32,
43,CIN-ROS-XXL,1,33144.89,13257.96,33144.89,
43,JOG-ÍND-M,1,41361.66,16544.66,41361.66,
43,CIN-ROS-L,1,33144.89,13257.96,33144.89,
44,CHU-NEG-XL,1,33823.38,13529.35,33823.38,
44,CIN-MAR-L,1,33144.89,13257.96,33144.89,
44,MUS-CEL-XXL,1,32320.56,12928.22,32320.56,
44,MUS-AZU-XXL,2,32320.56,12928.22,64641.12,
45,SWE-MAR-M,1,32525.33,13010.13,32525.33,
46,CHU-NEG-XL,1,33823.38,13529.35,33823.38,
46,CIN-ROS-XXL,2,33144.89,13257.96,66289.78,
46,REM-BLA-unico,1,32677.97,13071.19,32677.97,
47,CHU-ÍND-XXL,1,33823.38,13529.35,33823.38,
48,JEA-NEG-unico,1,21871.44,8748.58,21871.44,
48,CHU-ÍND-XL,1,33823.38,13529.35,33823.38,
48,MUS-CEL-XXL,1,32320.56,12928.22,32320.56,
48,CIN-ROS-S,1,33144.89,13257.96,33144.89,
48,CIN-TUR-XL,1,33144.89,13257.96,33144.89,
49,GOR-GRI-S,1,28716.74,11486.7,28716.74,
49,BUZ-AZU-unico,1,29569.23,11827.69,29569.23,
49,SWE-MAR-S,1,32525.33,13010.13,32525.33,
49,GOR-GRI-unico,1,28716.74,11486.7,28716.74,
50,CAM-BLA-XL,1,36700.58,14680.23,36700.58,
50,JOG-CEL-XXL,1,41361.66,16544.66,41361.66,
50,SWE-MAR-M,1,32525.33,13010.13,32525.33,
51,JOG-ÍND-XXL,1,41361.66,16544.66,41361.66,
51,SWE-MAR-L,1,32525.33,13010.13,32525.33,
52,CHU-ÍND-XXL,1,16911.69,13529.35,16911.69,11.0
52,CHU-ÍND-XXL,1,33823.38,13529.35,33823.38,
52,GOR-ROJ-S,1,14358.37,11486.7,14358.37,11.0
53,SWE-AZU-M,1,32525.33,13010.13,32525.33,
53,CHU-VER-M,1,33823.38,13529.35,33823.38,
53,CAM-BLA-M,2,36700.58,14680.23,73401.16,
54,JOG-ÍND-XL,1,41361.66,16544.66,41361.66,
54,REM-BLA-XL,1,32677.97,13071.19,32677.97,
54,JOG-AZU-XL,1,41361.66,16544.66,41361.66,
54,CHU-NEG-XXL,1,33823.38,13529.35,33823.38,
55,GOR-GRI-unico,1,28716.74,11486.7,28716.74,
55,CHU-NEG-XXL,1,33823.38,13529.35,33823.38,
55,MUS-AZU-unico,1,32320.56,12928.22,32320.56,
56,JEA-NEG-unico,1,21871.44,8748.58,21871.44,
56,CHU-VER-M,1,33823.38,13529.35,33823.38,
57,JOG-CEL-XL,1,41361.66,16544.66,41361.66,
57,REM-TUR-S,1,34182.8,13673.12,34182.8,
58,MUS-AZU-S,1,32320.56,12928.22,32320.56,
58,CAM-CEL-XL,1,36700.58,14680.23,36700.58,
58,REM-VIO-L,1,32677.97,13071.19,32677.97,
58,MUS-AZU-M,1,32320.56,12928.22,32320.56,
59,CHU-ÍND-XXL,1,33823.38,13529.35,33823.38,
60,JOG-ÍND-L,1,41361.66,16544.66,41361.66,
60,JOG-ÍND-S,1,41361.66,16544.66,41361.66,
60,SWE-AZU-XXL,2,19515.2,13010.13,39030.4,7.0
60,SWE-MAR-S,1,32525.33,13010.13,32525.33,
61,GOR-ROJ-XL,1,28716.74,11486.7,28716.74,
61,CHU-VER-S,1,33823.38,13529.35,33823.38,
61,CHU-VER-XL,1,33823.38,13529.35,33823.38,
61,GOR-GRI-unico,1,28716.74,11486.7,28716.74,
62,MUS-AZU-M,1,32320.56,12928.22,32320.56,
62,SWE-MAR-M,1,32525.33,13010.13,32525.33,
62,CHU-ÍND-unico,1,33823.38,13529.35,33823.38,
62,REM-VIO-XL,1,32677.97,13071.19,32677.97,
63,CAM-CEL-unico,1,36700.58,14680.23,36700.58,
64,CIN-ROS-L,1,33144.89,13257.96,33144.89,
64,CHU-ÍND-XL,1,33823.38,13529.35,33823.38,
64,JEA-NEG-XL,2,21871.44,8748.58,43742.88,
64,BUZ-AZU-M,1,29569.23,11827.69,29569.23,
65,SWE-MAR-L,1,32525.33,13010.13,32525.33,
65,CHU-VER-M,1,33823.38,13529.35,33823.38,
65,BUZ-AZU-L,1,29569.23,11827.69,29569.23,
65,CIN-MAR-XL,1,33144.89,13257.96,33144.89,
65,REM-BLA-XL,1,32677.97,13071.19,32677.97,
66,GOR-ROJ-XL,1,28716.74,11486.7,28716.74,
66,GOR-ROJ-XXL,2,28716.74,11486.7,57433.48,
66,CIN-MAR-XL,1,33144.89,13257.96,33144.89,
66,REM-CEL-unico,1,34182.8,13673.12,34182.8,
67,CIN-MAR-unico,2,33144.89,13257.96,66289.78,
67,GOR-ROJ-XXL,1,28716.74,11486.7,28716.74,
67,CAM-CEL-unico,1,36700.58,14680.23,36700.58,
67,JEA-LAV-L,1,21871.44,8748.58,21871.44,
67,SWE-MAR-XXL,1,32525.33,13010.13,32525.33,
68,JOG-ÍND-L,1,41361.66,16544.66,41361.66,
68,REM-CEL-XXL,2,34182.8,13673.12,68365.6,
68,JEA-NEG-M,1,21871.44,8748.58,21871.44,
69,SWE-MAR-M,1,32525.33,13010.13,32525.33,
70,CAM-CEL-S,1,36700.58,14680.23,36700.58,
70,JOG-AZU-unico,1,41361.66,16544.66,41361.66,
71,CHU-NEG-XL,2,33823.38,13529.35,67646.76,
71,CIN-MAR-unico,1,33144.89,13257.96,33144.89,
71,BUZ-AZU-unico,1,29569.23,11827.69,29569.23,
71,MUS-CEL-M,1,32320.56,12928.22,32320.56,
72,BUZ-AZU-M,1,29569.23,11827.69,29569.23,
72,CIN-TUR-XL,1,33144.89,13257.96,33144.89,
73,REM-CEL-unico,1,34182.8,13673.12,34182.8,
73,BUZ-AZU-unico,1,29569.23,11827.69,29569.23,
73,REM-BLA-S,1,32677.97,13071.19,32677.97,
73,JOG-ÍND-L,1,41361.66,16544.66,41361.66,
74,CAM-CEL-XL,1,36700.58,14680.23,36700.58,
75,SWE-MAR-S,1,32525.33,13010.13,32525.33,
75,CAM-BLA-L,1,23855.38,14680.23,23855.38,8.0
75,JEA-NEG-XL,1,21871.44,8748.58,21871.44,
76,REM-CEL-S,1,34182.8,13673.12,34182.8,
77,GOR-ROJ-L,1,28716.74,11486.7,28716.74,
77,MUS-CEL-XXL,1,32320.56,12928.22,32320.56,
77,SWE-AZU-XXL,1,32525.33,13010.13,32525.33,
77,SWE-MAR-XXL,1,32525.33,13010.13,32525.33,
77,CAM-BEI-XXL,2,36700.58,14680.23,73401.16,
78,CHU-VER-XL,1,33023.38,13529.35,33023.38,12.0
78,JOG-CEL-S,2,41361.66,16544.66,82723.32,
78,JOG-ÍND-S,1,41361.66,16544.66,41361.66,
78,CHU-VER-L,1,33823.38,13529.35,33823.38,
79,REM-TUR-XXL,2,34182.8,13673.12,68365.6,
79,GOR-ROJ-XXL,1,28716.74,11486.7,28716.74,
79,REM-TUR-S,1,34182.8,13673.12,34182.8,
80,SWE-AZU-S,1,32525.33,13010.13,32525.33,
80,JEA-NEG-L,1,21871.44,8748.58,21871.44,
81,CIN-TUR-XXL,1,33144.89,13257.96,33144.89,
81,GOR-GRI-M,1,28716.74,11486.7,28716.74,
81,CHU-NEG-M,1,21985.2,13529.35,21985.2,8.0
82,CIN-MAR-unico,2,33144.89,13257.96,66289.78,
82,CHU-VER-S,1,33823.38,13529.35,33823.38,
82,MUS-AZU-M,1,16160.28,12928.22,16160.28,11.0
83,CAM-BLA-XL,1,36700.58,14680.23,36700.58,
83,CIN-ROS-S,1,33144.89,13257.96,33144.89,
83,CIN-MAR-unico,1,33144.89,13257.96,33144.89,
84,JEA-NEG-L,1,21871.44,8748.58,21871.44,
84,CAM-CEL-unico,2,36700.58,14680.23,73401.16,
84,JOG-AZU-XXL,1,33089.33,16544.66,33089.33,1.0
84,CHU-VER-L,2,27058.7,13529.35,54117.4,1.0
84,CAM-BLA-XL,1,36700.58,14680.23,36700.58,
85,SWE-MAR-L,1,32525.33,13010.13,32525.33,
85,JOG-AZU-XXL,2,41361.66,16544.66,82723.32,
85,GOR-ROJ-XL,1,28716.74,11486.7,28716.74,
85,JEA-NEG-M,1,17934.58,8748.58,17934.58,9.0
86,REM-BLA-XL,1,32677.97,13071.19,32677.97,
86,SWE-AZU-M,2,16262.67,13010.13,32525.34,11.0
86,CHU-ÍND-XXL,2,33823.38,13529.35,67646.76,
86,JEA-NEG-XXL,1,21871.44,8748.58,21871.44,
87,MUS-CEL-S,2,32320.56,12928.22,64641.12,
87,CAM-BLA-L,1,36700.58,14680.23,36700.58,
87,JEA-LAV-S,1,21871.44,8748.58,21871.44,
88,CHU-NEG-M,1,33823.38,13529.35,33823.38,
88,CHU-ÍND-L,1,33823.38,13529.35,33823.38,
88,CIN-ROS-L,1,33144.89,13257.96,33144.89,
88,MUS-AZU-M,1,32320.56,12928.22,32320.56,
88,CAM-CEL-XL,1,36700.58,14680.23,36700.58,
89,CHU-VER-L,1,33823.38,13529.35,33823.38,
89,REM-CEL-XXL,1,34182.8,13673.12,34182.8,
89,CAM-BEI-unico,1,36700.58,14680.23,36700.58,
89,JOG-ÍND-S,1,41361.66,16544.66,41361.66,
89,CAM-BEI-S,1,36700.58,14680.23,36700.58,
90,CHU-VER-M,1,33823.38,13529.35,33823.38,
90,GOR-GRI-S,1,28716.74,11486.7,28716.74,
91,SWE-MAR-L,1,32525.33,13010.13,32525.33,
92,CIN-MAR-unico,1,33144.89,13257.96,33144.89,
92,JOG-ÍND-M,1,41361.66,16544.66,41361.66,
92,CHU-NEG-unico,1,33823.38,13529.35,33823.38,
93,REM-BLA-XL,1,26795.94,13071.19,26795.94,9.0
94,JOG-AZU-XXL,1,41361.66,16544.66,41361.66,
95,MUS-AZU-S,1,32320.56,12928.22,32320.56,
95,GOR-ROJ-XXL,1,28716.74,11486.7,28716.74,
95,JOG-CEL-S,1,41361.66,16544.66,41361.66,
96,GOR-ROJ-XXL,1,28716.74,11486.7,28716.74,
96,CHU-ÍND-unico,1,33823.38,13529.35,33823.38,
96,CHU-ÍND-unico,1,33823.38,13529.35,33823.38,
96,CHU-NEG-XXL,2,33823.38,13529.35,67646.76,
96,JOG-CEL-S,1,41361.66,16544.66,41361.66,
97,CIN-ROS-S,1,33144.89,13257.96,33144.89,
98,REM-BLA-unico,1,26795.94,13071.19,26795.94,10.0
98,GOR-ROJ-unico,1,28716.74,11486.7,28716.74,
98,JOG-ÍND-S,1,41361.66,16544.66,41361.66,
98,CHU-ÍND-unico,1,33823.38,13529.35,33823.38,
98,JOG-CEL-S,1,41361.66,16544.66,41361.66,
99,JOG-AZU-L,2,33089.33,16544.66,66178.66,1.0
99,CHU-VER-L,2,33823.38,13529.35,67646.76,
100,MUS-AZU-XXL,1,32320.56,12928.22,32320.56,
100,GOR-GRI-L,1,28716.74,11486.7,28716.74,
101,REM-TUR-XXL,1,34182.8,13673.12,34182.8,
101,REM-VIO-XL,1,32677.97,13071.19,32677.97,
101,BUZ-AZU-M,1,29569.23,11827.69,29569.23,
101,JOG-AZU-XL,1,41361.66,16544.66,41361.66,
102,CAM-CEL-S,1,36700.58,14680.23,36700.58,
102,REM-BLA-XL,1,19606.78,13071.19,19606.78,7.0
102,BUZ-AZU-unico,1,17741.54,11827.69,17741.54,7.0
102,CIN-ROS-S,1,33144.89,13257.96,33144.89,
102,MUS-CEL-XXL,1,32320.56,12928.22,32320.56,
103,MUS-AZU-S,1,32320.56,12928.22,32320.56,
103,JEA-LAV-unico,1,21871.44,8748.58,21871.44,
104,CIN-ROS-XXL,1,33144.89,13257.96,33144.89,
104,BUZ-AZU-L,1,29569.23,11827.69,29569.23,
104,BUZ-NEG-unico,1,29569.23,11827.69,29569.23,
104,SWE-MAR-XXL,1,32525.33,13010.13,32525.33,
105,CIN-MAR-S,1,21544.18,13257.96,21544.18,8.0
105,CHU-NEG-XXL,1,21985.2,13529.35,21985.2,8.0
105,CHU-VER-XL,1,33823.38,13529.35,33823.38,
106,CIN-MAR-M,1,33144.89,13257.96,33144.89,
106,JEA-LAV-L,1,21871.44,8748.58,21871.44,
106,CAM-CEL-XL,1,36700.58,14680.23,36700.58,
106,REM-VIO-M,1,32677.97,13071.19,32677.97,
107,CAM-BLA-S,1,36700.58,14680.23,36700.58,
107,MUS-CEL-unico,1,32320.56,12928.22,32320.56,
107,CHU-VER-XL,1,33823.38,13529.35,33823.38,
107,CIN-TUR-XL,1,33144.89,13257.96,33144.89,
108,CHU-ÍND-XL,1,33823.38,13529.35,33823.38,
108,SWE-AZU-S,1,32525.33,13010.13,32525.33,
108,BUZ-AZU-L,1,29569.23,11827.69,29569.23,
109,BUZ-NEG-S,1,29569.23,11827.69,29569.23,
109,CIN-MAR-S,1,33144.89,13257.96,33144.89,
109,MUS-AZU-XXL,1,32320.56,12928.22,32320.56,
110,JEA-LAV-M,2,21871.44,8748.58,43742.88,
110,CHU-NEG-XL,2,33823.38,13529.35,67646.76,
110,CAM-BEI-S,1,36700.58,14680.23,36700.58,
111,CIN-TUR-unico,1,33144.89,13257.96,33144.89,
111,CAM-BLA-S,1,36700.58,14680.23,36700.58,
111,CIN-TUR-unico,1,33144.89,13257.96,33144.89,
111,MUS-CEL-M,1,32320.56,12928.22,32320.56,
111,CIN-TUR-unico,1,33144.89,13257.96,33144.89,
112,SWE-AZU-XXL,1,32525.33,13010.13,32525.33,
112,JOG-ÍND-XL,1,41361.66,16544.66,41361.66,
112,CIN-MAR-M,1,33144.89,13257.96,33144.89,
112,JEA-LAV-L,1,21871.44,8748.58,21871.44,
113,CIN-MAR-XL,1,33144.89,13257.96,33144.89,
113,CHU-ÍND-XL,1,33823.38,13529.35,33823.38,
114,REM-BLA-unico,1,32677.97,13071.19,32677.97,
114,CHU-ÍND-unico,1,33823.38,13529.35,33823.38,
114,CAM-BEI-L,1,36700.58,14680.23,36700.58,
115,JOG-ÍND-M,1,41361.66,16544.66,41361.66,
116,CIN-MAR-S,1,33144.89,13257.96,33144.89,
116,REM-CEL-unico,1,34182.8,13673.12,34182.8,
116,CAM-CEL-XL,1,36700.58,14680.23,36700.58,
117,JEA-NEG-unico,1,21871.44,8748.58,21871.44,
117,GOR-GRI-M,1,28716.74,11486.7,28716.74,
117,CIN-TUR-XL,1,33144.89,13257.96,33144.89,
118,CAM-BLA-XL,1,36700.58,14680.23,36700.58,
118,CAM-BEI-L,1,36700.58,14680.23,36700.58,
118,GOR-GRI-S,1,28716.74,11486.7,28716.74,
118,JOG-ÍND-S,1,41361.66,16544.66,41361.66,
118,JOG-CEL-unico,1,41361.66,16544.66,41361.66,
119,CAM-BLA-L,1,36700.58,14680.23,36700.58,
119,BUZ-NEG-XL,1,29569.23,11827.69,29569.23,
119,REM-CEL-S,1,34182.8,13673.12,34182.8,
119,CHU-ÍND-XL,1,33823.38,13529.35,33823.38,
119,REM-VIO-XXL,1,32677.97,13071.19,32677.97,
120,REM-CEL-S,1,34182.8,13673.12,34182.8,
120,SWE-MAR-M,1,32525.33,13010.13,32525.33,
121,REM-CEL-unico,1,28029.9,13673.12,28029.9,10.0
121,REM-CEL-S,1,34182.8,13673.12,34182.8,
121,JOG-AZU-L,2,41361.66,16544.66,82723.32,
121,CHU-ÍND-XL,1,33823.38,13529.35,33823.38,
122,MUS-AZU-unico,1,32320.56,12928.22,32320.56,
122,JOG-ÍND-XXL,1,41361.66,16544.66,41361.66,
122,CIN-ROS-S,1,33144.89,13257.96,33144.89,
123,CHU-ÍND-unico,1,33823.38,13529.35,33823.38,
123,GOR-GRI-M,1,28716.74,11486.7,28716.74,
123,JOG-ÍND-XXL,1,41361.66,16544.66,41361.66,
123,CIN-MAR-unico,1,33144.89,13257.96,33144.89,
123,CHU-VER-S,1,33823.38,13529.35,33823.38,
124,GOR-ROJ-XL,1,28716.74,11486.7,28716.74,
124,JOG-ÍND-XL,1,41361.66,16544.66,41361.66,
125,GOR-ROJ-S,1,28716.74,11486.7,28716.74,
126,GOR-ROJ-unico,1,28716.74,11486.7,28716.74,
126,REM-CEL-unico,1,34182.8,13673.12,34182.8,
126,JEA-NEG-M,1,21871.44,8748.58,21871.44,
126,JOG-CEL-XL,1,41361.66,16544.66,41361.66,
126,BUZ-NEG-unico,1,29569.23,11827.69,29569.23,
127,JOG-CEL-XL,1,41361.66,16544.66,41361.66,
127,SWE-MAR-L,1,32525.33,13010.13,32525.33,
127,MUS-AZU-M,1,32320.56,12928.22,32320.56,
127,JEA-LAV-M,1,21871.44,8748.58,21871.44,
127,JOG-AZU-unico,2,41361.66,16544.66,82723.32,
128,CHU-VER-XL,1,33823.38,13529.35,33823.38,
128,CAM-BEI-S,1,36700.58,14680.23,36700.58,
128,MUS-CEL-L,1,32320.56,12928.22,32320.56,
128,JOG-ÍND-XL,1,41361.66,16544.66,41361.66,
128,GOR-GRI-S,1,28716.74,11486.7,28716.74,
129,CAM-BLA-L,1,36700.58,14680.23,36700.58,
129,CHU-VER-L,1,33823.38,13529.35,33823.38,
129,GOR-GRI-S,1,28716.74,11486.7,28716.74,
129,GOR-GRI-unico,1,28716.74,11486.7,28716.74,
129,CIN-MAR-S,1,33144.89,13257.96,33144.89,
130,BUZ-NEG-XL,1,29569.23,11827.69,29569.23,
130,CAM-CEL-unico,1,36700.58,14680.23,36700.58,
130,BUZ-NEG-XL,1,29569.23,11827.69,29569.23,
131,JOG-AZU-XXL,1,41361.66,16544.66,41361.66,
131,CIN-MAR-unico,1,33144.89,13257.96,33144.89,
131,MUS-AZU-XXL,2,32320.56,12928.22,64641.12,
131,SWE-MAR-M,1,32525.33,13010.13,32525.33,
131,CAM-CEL-unico,1,36700.58,14680.23,36700.58,
132,JOG-ÍND-XXL,1,41361.66,16544.66,41361.66,
132,REM-VIO-M,1,32677.97,13071.19,32677.97,
133,CAM-BLA-M,1,36700.58,14680.23,36700.58,
133,CHU-ÍND-XL,1,33823.38,13529.35,33823.38,
133,CHU-VER-M,1,33823.38,13529.35,33823.38,
134,GOR-ROJ-XXL,1,28716.74,11486.7,28716.74,
134,SWE-AZU-S,1,32525.33,13010.13,32525.33,
135,CIN-TUR-unico,1,33144.89,13257.96,33144.89,
135,SWE-MAR-XXL,1,32525.33,13010.13,32525.33,
136,CHU-ÍND-XXL,1,33823.38,13529.35,33823.38,
136,CHU-VER-L,1,33823.38,13529.35,33823.38,
136,MUS-CEL-unico,1,32320.56,12928.22,32320.56,
136,JEA-NEG-XXL,1,15310.01,8748.58,15310.01,5.0
137,CAM-CEL-unico,1,36700.58,14680.23,36700.58,
137,JOG-ÍND-XL,1,41361.66,16544.66,41361.66,
138,MUS-CEL-unico,1,32320.56,12928.22,32320.56,
138,BUZ-AZU-M,1,29569.23,11827.69,29569.23,
139,REM-BLA-XL,2,32677.97,13071.19,65355.94,
140,CHU-VER-XL,1,33823.38,13529.35,33823.38,
141,CHU-ÍND-L,1,33823.38,13529.35,33823.38,
141,CIN-ROS-unico,1,33144.89,13257.96,33144.89,
142,REM-VIO-XL,1,32677.97,13071.19,32677.97,
142,JOG-ÍND-XL,1,41361.66,16544.66,41361.66,
142,CHU-VER-M,1,33823.38,13529.35,33823.38,
143,CIN-MAR-S,2,33144.89,13257.96,66289.78,
143,JOG-CEL-XL,1,26885.08,16544.66,26885.08,8.0
143,CAM-BEI-M,1,23855.38,14680.23,23855.38,8.0
144,SWE-AZU-XXL,1,32525.33,13010.13,32525.33,
144,SWE-AZU-XXL,1,32525.33,13010.13,32525.33,
144,CHU-NEG-XL,1,33823.38,13529.35,33823.38,
145,GOR-ROJ-unico,1,28716.74,11486.7,28716.74,
145,JOG-ÍND-M,1,41361.66,16544.66,41361.66,
145,CIN-MAR-S,1,33144.89,13257.96,33144.89,
146,BUZ-AZU-L,1,29569.23,11827.69,29569.23,
147,REM-TUR-XXL,1,34182.8,13673.12,34182.8,
147,JOG-AZU-XXL,1,41361.66,16544.66,41361.66,
148,CHU-NEG-M,2,33823.38,13529.35,67646.76,
148,JOG-CEL-L,1,26885.08,16544.66,26885.08,8.0
148,CAM-BLA-L,1,36700.58,14680.23,36700.58,
148,GOR-GRI-XXL,1,28716.74,11486.7,28716.74,
148,CHU-ÍND-L,1,21985.2,13529.35,21985.2,8.0
