orden_compra_nro,sku_variante,cantidad,costo_unitario_pactado
9,SWE-MAR-M,75,11787.97
9,GOR-GRI-M,136,11257.65
9,MUS-AZU-S,113,11883.09
9,CAM-BLA-XL,164,13418.0
9,JEA-LAV-M,121,8278.46
9,REM-VIO-XL,163,12820.25
10,REM-BLA-XL,110,11981.46
10,CAM-BEI-S,173,13525.99
10,JOG-AZU-XL,65,15162.58
11,CHU-VER-XL,158,13118.86
11,GOR-GRI-M,192,11098.3
11,CAM-BEI-S,89,13490.98
11,JEA-NEG-unico,64,8380.42
11,CAM-BLA-L,65,14310.25
11,REM-VIO-M,62,12527.66
11,CAM-BEI-M,185,13443.32
11,CAM-BEI-L,70,14462.0
11,REM-VIO-XXL,67,12646.65
11,JEA-NEG-M,153,7978.61
12,SWE-MAR-XXL,70,12254.53
12,BUZ-AZU-L,194,11263.25
12,CHU-ÍND-L,102,13082.51
13,MUS-AZU-XXL,126,12226.51
13,CIN-ROS-XXL,68,11944.51
13,SWE-MAR-XXL,194,13005.05
13,REM-VIO-XL,187,12042.69
13,CHU-ÍND-L,83,13439.05
13,REM-VIO-XXL,112,12247.09
13,MUS-CEL-unico,162,12713.28
13,GOR-GRI-L,127,11040.65
13,CIN-MAR-M,185,11942.54
14,CHU-ÍND-L,79,13380.14
14,CIN-ROS-S,191,12138.26
14,CHU-VER-XL,103,13147.3
14,JEA-NEG-XXL,117,8315.88
14,CHU-ÍND-XL,63,12301.29
15,CHU-NEG-S,83,13038.39
15,CHU-ÍND-L,91,13179.25
15,BUZ-NEG-XL,159,11308.34
16,CAM-BLA-L,59,14437.41
16,BUZ-AZU-L,191,10820.08
16,MUS-AZU-XXL,60,12033.92
16,CIN-MAR-S,60,13123.95
16,JEA-NEG-XXL,113,8457.19
17,JEA-NEG-M,91,8727.76
17,CIN-MAR-M,95,13100.74
17,REM-CEL-XXL,95,13312.92
17,CHU-NEG-S,155,13261.79
17,CIN-ROS-L,113,12285.89
18,JEA-NEG-L,101,8588.12
18,CAM-CEL-S,139,13660.23
18,CIN-MAR-S,108,12227.72
18,GOR-ROJ-XXL,99,10795.74
18,CHU-VER-M,67,13484.55
18,CHU-VER-M,139,13044.3
18,JOG-AZU-XL,187,15438.07
18,REM-CEL-XXL,79,13504.99
18,CHU-ÍND-L,95,12961.92
18,CHU-ÍND-L,59,12323.08
19,JOG-ÍND-XXL,180,15081.53
19,BUZ-AZU-M,98,10946.2
19,GOR-GRI-L,161,10339.97
19,CIN-MAR-M,187,12842.8
19,CIN-ROS-L,100,12415.05
19,REM-VIO-XXL,134,12578.61
19,GOR-ROJ-XXL,81,11164.79
19,CHU-VER-L,179,12594.86
20,BUZ-NEG-XL,82,10871.82
20,GOR-ROJ-S,147,11116.04
20,JEA-LAV-S,195,8137.01
20,BUZ-NEG-XL,50,11004.33
20,JEA-NEG-XXL,160,8561.15
20,SWE-AZU-S,132,12314.07
20,JOG-ÍND-L,104,15735.91
21,CAM-BEI-L,135,13349.3
21,CIN-ROS-XXL,110,12824.15
21,JEA-NEG-L,100,8002.64
21,REM-CEL-S,112,13651.16
21,SWE-AZU-XXL,68,12301.62
21,SWE-MAR-S,197,11962.08
21,GOR-GRI-unico,148,10905.91
22,CIN-ROS-XXL,77,12964.19
22,JEA-NEG-L,95,8577.2
22,GOR-GRI-unico,182,10871.64
23,CIN-MAR-L,168,12817.24
23,BUZ-NEG-S,131,11768.6
23,JOG-ÍND-L,179,15596.22
23,BUZ-NEG-XL,164,11706.11
23,CIN-ROS-S,171,12528.86
24,SWE-MAR-S,111,12066.37
24,REM-VIO-XL,123,12070.58
24,CHU-NEG-S,131,13384.62
24,REM-BLA-unico,85,11961.22
24,JOG-AZU-unico,89,16058.94
24,REM-VIO-XXL,156,12296.85
24,CAM-BLA-L,169,13822.57
24,JEA-NEG-XXL,157,8214.46
24,CIN-TUR-unico,199,13186.45
24,REM-TUR-XXL,197,12825.91
25,JOG-ÍND-M,187,16126.93
25,CAM-BLA-L,106,13928.94
25,CHU-ÍND-unico,161,12833.46
25,JOG-AZU-unico,136,15996.82
25,CIN-MAR-L,153,12892.28
25,CAM-CEL-unico,82,14651.93
25,CAM-BLA-XL,56,14543.6
25,BUZ-AZU-unico,194,11429.1
25,REM-BLA-unico,159,11941.45
26,JOG-CEL-L,133,15240.38
26,CHU-NEG-M,136,13206.31
26,JOG-CEL-L,121,16134.37
26,JOG-ÍND-M,114,16271.53
26,CAM-CEL-XL,54,14311.79
26,REM-VIO-L,139,12057.16
26,REM-VIO-XXL,60,12749.94
27,JEA-NEG-M,82,8288.02
27,MUS-AZU-M,194,12860.68
27,CAM-CEL-unico,115,14338.03
27,MUS-CEL-XXL,79,12640.94
27,MUS-CEL-unico,129,11775.15
28,JOG-AZU-L,100,15015.93
28,GOR-ROJ-XL,112,10455.08
28,CIN-TUR-unico,127,13059.48
28,SWE-AZU-M,80,12745.02
28,BUZ-NEG-unico,60,11055.58
28,JOG-ÍND-S,144,15004.28
28,SWE-MAR-M,137,11725.58
28,JOG-ÍND-M,175,15064.8
28,JOG-CEL-XL,167,16060.41
29,SWE-AZU-XXL,187,12716.94
29,CAM-CEL-unico,161,14424.4
29,BUZ-AZU-unico,118,11026.13
29,CHU-ÍND-XXL,72,12553.79
29,JOG-ÍND-XL,112,16131.83
29,BUZ-NEG-unico,147,11042.8
29,CAM-BEI-XXL,133,13479.15
30,CHU-VER-M,120,12928.36
30,CAM-BLA-M,98,13337.89
30,GOR-GRI-XXL,154,10899.24
30,CIN-ROS-unico,111,12847.77
30,SWE-MAR-M,175,12292.2
30,REM-TUR-XXL,73,12708.12
30,JOG-AZU-XL,112,15396.8
30,BUZ-AZU-L,144,11204.68
31,JOG-CEL-unico,166,15338.42
31,CHU-ÍND-XL,109,12339.65
31,JEA-LAV-L,130,7978.32
31,CAM-BLA-XL,97,13493.39
31,CIN-ROS-L,173,12298.75
31,BUZ-AZU-unico,184,11350.79
31,REM-BLA-S,99,12151.3
31,JOG-CEL-XL,95,15390.29
32,BUZ-NEG-XL,124,11469.8
32,MUS-AZU-XXL,175,11768.03
32,REM-TUR-S,196,12694.59
33,REM-VIO-L,114,12994.15
33,CAM-BEI-unico,79,14419.09
33,JOG-AZU-XL,175,15012.76
33,SWE-MAR-S,63,11906.52
33,CIN-MAR-M,194,13190.51
34,SWE-AZU-S,107,12718.3
34,JOG-CEL-L,165,16393.28
34,CHU-VER-L,200,13515.86
34,CHU-NEG-XXL,195,13016.62
34,SWE-AZU-XXL,75,12941.94
34,JEA-NEG-XXL,104,8105.25
34,REM-BLA-unico,90,12077.6
34,BUZ-NEG-XL,69,10830.06
34,JOG-AZU-XXL,165,16030.74
35,CHU-VER-XL,122,13127.51
35,CAM-CEL-S,68,14221.3
35,CHU-ÍND-L,200,13070.95
35,JEA-LAV-unico,158,7974.13
35,JEA-NEG-L,88,8668.45
35,CIN-MAR-unico,86,12026.84
36,JOG-ÍND-L,81,15665.64
36,CHU-VER-L,153,13451.79
36,CAM-BEI-M,188,13937.11
36,REM-BLA-unico,60,12926.65
36,CIN-ROS-L,132,12732.57
36,REM-CEL-XXL,73,12618.82
36,GOR-ROJ-unico,197,11012.44
37,CIN-ROS-unico,94,12555.95
37,SWE-MAR-L,163,12900.94
37,JEA-LAV-M,199,8255.06
38,JOG-AZU-XXL,135,15421.37
38,MUS-AZU-S,91,12061.78
38,GOR-ROJ-XL,176,10669.1
38,JOG-AZU-XL,190,14950.91
38,REM-BLA-XL,130,12093.99
38,MUS-AZU-M,153,12753.57
38,CIN-MAR-unico,50,12804.09
38,CAM-BLA-L,168,13818.86
39,SWE-MAR-S,163,12697.87
39,JEA-NEG-XXL,118,8354.21
39,CHU-VER-XL,162,13368.14
39,CAM-BEI-S,81,13254.59
39,SWE-MAR-S,111,12632.55
39,CHU-NEG-XXL,191,12194.92
39,JOG-AZU-XXL,73,15261.95
39,MUS-AZU-M,168,12859.78
39,SWE-MAR-M,89,12357.51
39,GOR-GRI-S,124,10922.56
40,CHU-ÍND-XXL,166,12922.24
40,JOG-AZU-unico,98,16415.39
40,CAM-BEI-L,84,14480.62
40,CHU-VER-M,156,12636.24
40,CIN-TUR-XXL,179,12286.38
40,REM-TUR-M,122,13298.55
40,BUZ-AZU-unico,198,11826.39
40,CAM-BEI-S,88,13867.75
40,CAM-BEI-unico,138,13700.24
40,CIN-ROS-unico,189,12432.27
41,BUZ-AZU-M,148,10921.17
41,CIN-TUR-XL,155,11990.03
41,CIN-ROS-S,171,12867.15
41,CIN-MAR-M,147,12444.03
41,GOR-ROJ-XXL,88,10907.0
41,REM-CEL-unico,82,12992.6
42,CAM-BLA-S,166,13234.74
42,MUS-CEL-S,154,12761.36
42,MUS-CEL-M,69,12242.37
42,CHU-ÍND-L,136,13019.64
43,GOR-ROJ-unico,186,10774.54
43,CHU-NEG-unico,174,13356.69
43,REM-CEL-unico,67,12626.81
43,GOR-ROJ-L,123,11483.74
43,CIN-ROS-S,73,12507.52
43,REM-BLA-S,75,12344.01
43,GOR-ROJ-XL,126,11375.77
43,REM-CEL-S,133,13394.38
44,MUS-CEL-S,112,12322.1
44,BUZ-NEG-unico,96,10845.97
44,REM-BLA-unico,147,12574.11
44,JEA-NEG-M,177,8672.32
44,MUS-CEL-S,109,12231.58
44,CHU-ÍND-XL,167,12521.86
44,REM-TUR-S,169,13538.04
44,GOR-ROJ-unico,189,10519.49
44,JOG-ÍND-L,138,16524.23
45,CAM-CEL-S,127,13504.66
45,JOG-AZU-unico,173,15066.65
45,JOG-CEL-L,196,15484.08
45,CHU-VER-S,125,12206.1
45,GOR-ROJ-XXL,151,10653.32
45,BUZ-NEG-unico,62,11721.97
45,CIN-ROS-S,177,13036.34
46,JEA-NEG-L,98,8416.91
46,GOR-ROJ-unico,85,11059.68
46,SWE-MAR-S,60,12111.04
46,JOG-ÍND-L,58,15849.08
46,GOR-GRI-M,83,10441.56
46,CHU-VER-S,133,13187.71
46,JEA-LAV-S,101,7989.34
46,CAM-BLA-L,143,13991.51
47,CIN-MAR-M,125,12921.95
47,CHU-NEG-XL,79,12810.04
47,REM-VIO-XL,86,12749.84
47,JEA-NEG-L,151,8719.95
47,CIN-MAR-L,192,12417.11
47,CIN-MAR-S,151,11950.62
47,CAM-BLA-XL,81,13879.84
47,GOR-ROJ-unico,117,11009.5
47,CIN-MAR-unico,145,12075.81
47,JEA-NEG-XL,170,7895.62
48,SWE-MAR-unico,168,12892.24
48,CHU-VER-L,154,12334.27
48,REM-CEL-S,59,12721.97
48,CAM-BEI-XXL,79,13354.89
49,GOR-ROJ-S,188,10819.47
49,CIN-ROS-S,89,13106.04
49,SWE-MAR-L,75,12793.76
49,SWE-AZU-XXL,154,12930.84
49,CHU-VER-M,58,13110.32
49,JEA-NEG-unico,163,8262.77
49,JEA-NEG-M,142,7960.64
49,GOR-ROJ-L,144,10963.44
50,JEA-LAV-L,81,8703.97
50,CIN-MAR-unico,166,12053.7
50,JEA-NEG-unico,55,7917.97
50,CHU-NEG-S,112,13514.23
50,CIN-TUR-XXL,194,12204.22
50,CIN-ROS-unico,191,12206.81
50,JEA-NEG-unico,109,8161.16
